timestamp,voltage,percent,status,time_remaining_s
2026-07-17 01:41:13,3.70,14,Discharging,15120
2026-07-17 01:42:14,3.70,15,Discharging,16200
2026-07-17 01:43:14,3.70,16,Discharging,17280
2026-07-17 01:44:14,3.71,17,Discharging,18360
2026-07-17 01:45:14,3.70,16,Charging / USB,-1
2026-07-17 01:46:15,3.71,17,Charging / USB,-1
2026-07-17 01:48:38,3.72,20,Discharging,21600
2026-07-17 01:49:39,3.72,20,Discharging,21600
2026-07-17 01:50:39,3.72,21,Discharging,22680
2026-07-17 01:51:39,3.73,23,Discharging,24840
2026-07-17 01:52:39,3.73,23,Charging / USB,-1
2026-07-17 01:53:39,3.73,24,Charging / USB,-1
2026-07-17 01:54:39,3.74,25,Charging / USB,-1
2026-07-17 01:55:39,3.74,26,Charging / USB,-1
2026-07-17 01:56:39,3.74,27,Charging / USB,-1
2026-07-17 01:57:39,3.74,27,Charging / USB,-1
2026-07-17 01:58:39,3.75,28,Charging / USB,-1
2026-07-17 01:59:39,3.75,29,Charging / USB,-1
2026-07-17 02:00:39,3.75,30,Charging / USB,-1
2026-07-17 02:01:39,3.76,31,Charging / USB,-1
2026-07-17 02:02:39,3.76,32,Charging / USB,-1
2026-07-17 02:03:39,3.77,34,Charging / USB,-1
2026-07-17 02:04:39,3.77,36,Charging / USB,-1
2026-07-17 02:05:39,3.77,36,Charging / USB,-1
2026-07-17 02:06:39,3.78,38,Charging / USB,-1
2026-07-17 02:07:39,3.79,40,Charging / USB,-1
2026-07-17 02:08:39,3.79,39,Charging / USB,-1
2026-07-17 02:09:39,3.79,40,Charging / USB,-1
2026-07-17 02:10:39,3.79,41,Charging / USB,-1
2026-07-17 02:11:39,3.80,42,Charging / USB,-1
2026-07-17 02:12:39,3.80,45,Charging / USB,-1
2026-07-17 02:13:39,3.81,47,Charging / USB,-1
2026-07-17 02:14:39,3.82,48,Charging / USB,-1
2026-07-17 02:15:39,3.82,49,Charging / USB,-1
2026-07-17 02:16:39,3.82,50,Charging / USB,-1
2026-07-17 02:17:39,3.83,51,Charging / USB,-1
2026-07-17 02:18:39,3.84,52,Charging / USB,-1
2026-07-17 02:19:39,3.84,53,Charging / USB,-1
2026-07-17 02:20:39,3.85,54,Charging / USB,-1
2026-07-17 02:21:39,3.85,55,Charging / USB,-1
2026-07-17 02:22:39,3.86,56,Charging / USB,-1
2026-07-17 02:23:39,3.87,57,Charging / USB,-1
2026-07-17 02:24:39,3.87,58,Charging / USB,-1
2026-07-17 02:25:39,3.88,59,Charging / USB,-1
2026-07-17 02:26:39,3.89,61,Charging / USB,-1
2026-07-17 02:27:39,3.89,62,Charging / USB,-1
2026-07-17 02:28:39,3.90,62,Charging / USB,-1
2026-07-17 02:30:30,3.91,65,Discharging,70200
2026-07-17 02:31:31,3.92,65,Discharging,70200
2026-07-17 02:32:31,3.92,66,Charging / USB,-1
2026-07-17 02:33:31,3.93,68,Charging / USB,-1
2026-07-17 02:34:30,3.94,69,Charging / USB,-1
2026-07-17 02:35:30,3.94,70,Charging / USB,-1
2026-07-17 02:36:31,3.95,71,Charging / USB,-1
2026-07-17 02:37:31,3.95,72,Charging / USB,-1
2026-07-17 02:38:31,3.96,73,Charging / USB,-1
2026-07-17 02:39:31,3.97,75,Charging / USB,-1
2026-07-17 02:40:31,3.98,76,Charging / USB,-1
2026-07-17 02:41:31,3.98,77,Charging / USB,-1
2026-07-17 02:42:31,3.99,78,Charging / USB,-1
2026-07-17 02:43:31,4.00,79,Charging / USB,-1
2026-07-17 02:44:31,4.01,80,Charging / USB,-1
2026-07-17 02:45:31,4.01,81,Charging / USB,-1
2026-07-17 02:48:06,4.03,84,Discharging,90720
2026-07-17 02:49:06,4.04,85,Discharging,91800
2026-07-17 02:50:06,4.05,86,Charging / USB,-1
2026-07-17 02:51:06,4.06,87,Charging / USB,-1
2026-07-17 02:52:06,4.06,88,Charging / USB,-1
2026-07-17 02:53:06,4.07,89,Charging / USB,-1
2026-07-17 02:54:06,4.08,90,Charging / USB,-1
2026-07-17 02:55:06,4.09,92,Charging / USB,-1
2026-07-17 02:56:06,4.10,93,Charging / USB,-1
2026-07-17 02:57:06,4.12,95,Charging / USB,-1
2026-07-17 02:58:06,4.12,96,Charging / USB,-1
2026-07-17 02:59:06,4.13,96,Charging / USB,-1
2026-07-17 03:00:06,4.13,96,Charging / USB,-1
2026-07-17 03:01:06,4.13,96,Charging / USB,-1
2026-07-17 03:02:06,4.13,97,Charging / USB,-1
2026-07-17 03:03:06,4.13,97,Charging / USB,-1
2026-07-17 03:04:06,4.13,97,Charging / USB,-1
2026-07-17 03:05:06,4.13,97,Charging / USB,-1
2026-07-17 03:06:06,4.14,98,Charging / USB,-1
